Close,High,Low,Open,Volume
AAPL,AAPL,AAPL,AAPL,AAPL
191.4842987060547,191.81003800912126,189.3324492359564,189.4212831199665,50520200
191.22764587402344,191.81990188608006,189.93456914478574,190.8525644573039,48288200
192.57992553710938,195.6694855056854,190.1615598085878,190.60575926840173,80507300
190.63539123535156,193.9322456468904,190.01352397351403,192.57006595398724,59581200
189.46075439453125,192.45161532627134,188.75991868585442,191.59285775033445,71951700
190.2602996826172,192.3924031537896,189.76675804919924,190.91177825353577,45377800
191.11903381347656,191.92844922240585,190.4280786239598,190.83278632842445,37283200
191.9876708984375,193.112945076557,190.82292002182845,191.16839008411552,47471900
190.72422790527344,194.6528150463848,190.06288393124004,193.48806403406496,47460200
193.3004913330078,194.0901608500724,191.63231843190331,192.15547128634879,48291400
193.91249084472656,193.95198260711592,192.7378594315981,193.52752900074864,38824100
193.0833282470703,194.1888565133771,192.75758901252786,193.7051954277144,35175100
190.0924530029297,192.65885986117044,189.3718866034585,192.52066883850895,50389300
188.70069885253906,189.885195713569,188.22690312046603,189.09554118067888,61235200
179.6392822265625,184.95966022717982,179.57017917093492,183.12368481919472,115956800
176.5398406982422,180.7645556934903,175.0592158617292,179.77747246914834,97576100
177.47756958007812,177.94149990785485,175.2862435821482,177.3689898212007,67823000
175.88836669921875,178.59296516430098,174.72360063232372,178.53374257918168,60378500
175.67117309570312,178.41526279292168,175.30595718386297,177.16166309157035,54686900
175.7305145263672,176.55090180538758,174.50488805624465,175.26597277471524,52036700
177.38116455078125,177.60849603671858,175.2560608313475,175.90841909398483,43675600
175.39443969726562,177.40092323969566,174.99907927707545,176.8078826094104,43622600
174.52462768554688,176.471793411816,174.45543132326716,175.07813825565708,46964900
171.98439025878906,175.4537251155125,171.47040969711574,175.08801600845376,66062900
172.46871948242188,173.0716538674228,169.96802811890126,170.30408595131965,61172200
173.80308532714844,174.08973444525807,171.7274205434044,173.0420157807921,46311900
175.177001953125,175.62178623446252,174.20835828322907,175.00897300604348,42038900
179.02194213867188,179.44696895877536,176.2642675025049,176.45206899868776,52722800
174.3368377685547,179.0021629998802,173.97111355320405,178.57713623123834,54945800
176.54098510742188,177.0747231196245,173.78331106065053,175.3252376314931,51449600
178.1027069091797,178.49806733287568,176.48170504077262,178.003859262239,43820700
181.98715209960938,182.75811538578077,177.42067493043544,177.61835511729424,53003900
